No,Kecamatan,Kelurahan,Nama Perusahaan,Nama Pemilik,Alamat,Telepon/Hp,Jenis Usaha,Jumlah Karyawan,Aset,Omset,Tahun Berdiri,Keterangan
1,Regol,-,-,Maman S,Ciseureuh RT.09/05,-,Jasa,0,4000000,4200000,1997,Mikro
2,Regol,-,-,Subarna,Jl. Dengki 21 Cibereling,-,Penjahit,0,4000000,4200000,2000,Mikro
3,Regol,-,-,Rudi Kristianto,Ciseureuh RT.07/08,-,Pakaian,0,3000000,4200000,-,Mikro
4,Regol,-,-,Dewi,Jl. Pasirluyu RT.08/04,-,Penjahit,0,4000000,2400000,2001,Mikro
5,Regol,-,-,Asep yayat,Jl. Pasirluyu RT.05/04,-,Bubur ayam,0,4000000,4200000,2002,Mikro
6,Regol,-,-,Wiwi,Jl. Pasirluyu RT.06/04,-,Nasi kuning,0,4000000,4200000,2002,Mikro
7,Regol,-,-,Odon (jasun),Jl. Babakan garut RT.02/08,-,Wartel/kiospon,0,3000000,4200000,2000,Mikro
8,Regol,-,-,Endang,SDN Bakti Winaya ,-,Bubur ayam,0,4000000,4200000,2000,Mikro
9,Regol,-,-,Cucu iskandar,Jl. Kembar barat 30 Cigereleng,-,Warung nasi,0,4000000,2400000,1979,Mikro
10,Regol,-,-,Icah,Jl. H. Aksan Cigereleng,-,Surabi,1,3000000,4200000,1999,Mikro
11,Regol,-,-,Iim omo,Cigereleng RT.04/10,-,Jasa,1,3000000,4200000,1969,Mikro
12,Regol,-,-,Hj. Entin,Jl. Dengki RT.06/07,-,Sembako,1,3000000,9000000,-,Mikro
13,Regol,-,-,Setiawati,Jl. Sri gadis dalam Cigereleng,-,Gorengan,1,3000000,4200000,1989,Mikro
14,Regol,-,-,Sodik,Jl. Srimahi 4 Cigereleng,-,Pakaian,3,3000000,9000000,1999,Mikro
15,Regol,-,-,Ening S,Jl. Sri gadis Cigereleng,-,Pakaian,1,4000000,9000000,1994,Mikro
16,Regol,-,-,Mamad H.,Jl. Moch. Toha 21 Cigereleng,-,Sop kaki kambing,1,3000000,4200000,1997,Mikro
17,Regol,-,-,R. Iwan,Jl. Kembar dalam I Cigereleng,-,Warung nasi,1,4000000,9000000,2000,Mikro
18,Regol,-,-,Suwangsih,Jl. Kembar lama 3 Cigereleng,-,Kebutuhan sehari-hari,1,3000000,4200000,1991,Mikro
19,Regol,-,-,Hendra S,Jl. Soekarno hatta Cigereleng,-,Minuman,1,3000000,4200000,2001,Mikro
20,Regol,-,-,Totong urtoyo,Jl. Dewi sartika 23,-,Makanan burung,0,3000000,4200000,2000,Mikro
21,Regol,-,-,I Amanah,Jl. Moch ramdhan 11 Ancol,-,Warung nasi,0,3000000,4200000,1999,Mikro
22,Regol,-,-,Yeni S.,Jl. Bu Inggit Ganarsih,-,Jasa,0,3000000,4200000,2000,Mikro
23,Regol,-,-,E. Kosim,Jl. Sriwijaya Cigereleng,-,Mie ayam,2,3000000,4200000,1994,Mikro
24,Regol,-,-,Rahmat H.,Jl. Murni RT.05/03 Ciateul,-,Sembako,0,3000000,4200000,1999,Mikro
25,Regol,-,-,Suprapti,Jl. Kembar utara 12 Cigereleng,-,Warung nasi,1,4000000,4200000,1997,Mikro
26,Regol,-,-,Robert,Cigereleng RT.04/07,-,Kebutuhan sehari-hari,1,3000000,4200000,2000,Mikro
27,Regol,-,-,Totong Ismail,Cigereleng RT.05/03,-,Sembako,1,4000000,9000000,1998,Mikro
28,Regol,-,-,Rusli R.,Jl. Bu Inggit Ganarsih,-,Mie baso,0,3000000,4200000,1998,Mikro
29,Regol,-,-,H. Ajat S.,Jl. Ciateul 2,-,Pakaian,0,4000000,9000000,2001,Mikro
30,Regol,-,-,Kartini BA,Jl. Ancol tengah 53 ancol,-,Bubur ayam,1,4000000,4200000,1990,Mikro
31,Regol,-,-,Sri Y.,Jl. Pungkur ancol,-,ATK,6,3000000,9000000,1993,Mikro
32,Regol,-,-,Umar A.,Jl. Ancol timur I gg. Mata,-,Kupat tahu,1,3000000,9000000,1993,Mikro
33,Regol,-,-,Bambang Y.,Jl. Maos 3 Cigereleng,-,Sembako,1,3000000,9000000,1997,Mikro
34,Regol,-,-,Asih K.,Jl. Moch Toha RT.08/06,-,Nasi kuning,1,3000000,4200000,1998,Mikro
35,Regol,-,-,Khaerul,Jl. Moch Toha RT.06/05 Ciseureuh,-,Mie baso,1,3000000,9000000,-,Mikro
36,Regol,-,-,Asep Z.,Jl. Lapangan Bulutangkis RW.04 Pasirluyu,-,Surabi,0,4000000,4200000,2002,Mikro
37,Regol,-,-,Yadi,Jl. Pasirluyu RT.02/04,-,Penjahit,0,4000000,4200000,1998,Mikro
38,Regol,-,-,Asep,Jl. Pasirluyu RT.05/03,-,Wartel/kiospon,0,3000000,4200000,2000,Mikro
39,Regol,-,-,Sari,Jl. Babakan garut RT.03/08,-,Warung nasi,0,3000000,4200000,1995,Mikro
40,Regol,-,-,Tohir H.,Jl. Srigadis,-,Penjahit,1,3000000,4200000,1965,Mikro
41,Regol,-,-,Parmin,Jl. BKR RT.05/02 Pasirluyu,-,Bubur ayam,1,3000000,4200000,2000,Mikro
42,Regol,-,-,Ismail,Jl. BKR RT.05/02 Pasirluyu,-,Roti bakar,2,3000000,2400000,2002,Mikro
43,Regol,-,-,Wangsih,Jl. BKR RT.05/02 Pasirluyu,-,Penjahit,1,3000000,4200000,1997,Mikro
44,Regol,-,-,Endang,Jl. BKR RT.05/02 Pasirluyu,-,Sayuran,2,3000000,4200000,1993,Mikro
45,Regol,-,-,Ujang Emon,Jl. BKR RT.05/02 Pasirluyu,-,Gorengan,1,3000000,4200000,1999,Mikro
46,Regol,-,Carissa,Heri Herdiyana,Jl. BKR 136,022-5228949,Rumah Boneka -  Accessories Boneka dan Boneka Barbie,5,-,120000000,1995,Mikro
47,Regol,-,Lana Cell,Deny Firmansyah,Jl. BKR 128,022-70282888 / 5225273,Penjualan Kartu perdana & Voucher,4,-,120000000,2001,Mikro
48,Regol,-,RM. PAGI SORE,Zulhendri,Jl. Moh Toha no.5 depan ITC Kb.Kelapa,-,Makanan dan minuman,7,-,120000000,2002,Mikro
49,Regol,Ciateul,BM Cell,Denny Maskam Baihaqi,Jl. Pungkur BLK 72,022-5201197,Voucher dan Kartu Perdana,2,1000000,108000000,2004,Mikro
50,Regol,-,Central Celluar,Achmad Tohir,Jl. Somadinata no 70/18C,022-92027816,Voucher -  kartu Perdana dan HP,2,-,108000000,-,Mikro
51,Regol,-,-,Azid,Jl. Pasundan 107 RT.03/03,-,Masakan,2,-,108000000,1982,Mikro
52,Regol,-,Batagor Pak ADE,Endang Suherman,Jl. Buah Batu No. 29,-,Batagor,4,-,102000000,1997,Mikro
53,Regol,Balong Gede,-,Dede Yusup,Dewi Sartika No.33,085720407717,Klontongan Makanan - Rokok,1,2500000,96000000,2006,Mikro
54,Regol,-,RHIEZKY,M. Syaiho,Jl. Moch Ramdan 235,-,Jual Beras,0,-,96000000,2005,Mikro
55,Regol,-,Wartel Pungkur / Asmi,Itang As,Jl. Salamah 142/19B,022-91597377 / 5230799,Warung Telekomunikasi,1,-,96000000,-,Mikro
56,Regol,Ciateul,Ibu Somad,Nenden,Nusaid 2,-,Klontongan Makanan - Rokok,1,1000000,90000000,1998,Mikro
57,Regol,Balong Gede,Euis,H. Faturochman T,Jl. Nata Wijaya 6 Pasundan,022-5221314,Warung,2,1000000,90000000,1983,Mikro
58,Regol,-,Warung Nasi SPE,Ruminah,Jl. Disan No.1 Rt.07/RW.04 Balong Gede,-,Warung Nasi,3,-,90000000,2000,Mikro
59,Regol,Balong Gede,Buble Drink,Rizal,Balonggede,022-4263121,Dagang,2,-,72000000,2007,Mikro
60,Regol,Balong Gede,-,Samsu,Balonggede,-,Rokok -  Minuman -  Makanan -  Permen,2,-,72000000,1997,Mikro
61,Regol,Balong Gede,Kios Rokok Asep,Asep Suhendi,Jl. Balong Gede No.49A Depan Gg.Disan,-,Kios Rokok,0,2000000,72000000,1982,Mikro
62,Regol,-,Kantin Sekolah,Alo Rodiat,Jl. Balong Gede No.49A Depan Gg.Disan,-,Makanan ringan -  Baso,3,-,72000000,1999,Mikro
63,Regol,-,-,UUS Sunaardi / Utang S,Jl. Balong Gede No. 49,-,Warung Rokok,2,-,72000000,1979,Mikro
64,Regol,-,BOM Music Studio,Indra Kusmayadi,Jl. Sawah Kurung II Bandung,022-5200488 / 7566612,Rental Studio,3,50000000,72000000,1997,Mikro
65,Regol,-,Baso O'Boy,Sumarto,Sawah kurung raya,022-76027441,Baso,6,-,72000000,1989,Mikro
66,Regol,-,-,Roni,Jl. Pasir Salam Dpn B1,-,Kios Rokok dan Minuman,2,-,72000000,2005,Mikro
